Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
3,13.43,13.43,1,13.26,13.26,4,13.53,13.53,2,13.33,13.33
3,10.36,23.79,4,10.67,23.93,1,10.10,23.63,2,10.35,23.68
3,9.82,33.61,4,9.87,33.80,1,9.80,33.43,2,9.83,33.51
3,10.06,43.67,4,10.01,43.81,2,10.21,43.64,1,10.05,43.56
2,9.67,53.34,3,9.70,53.51,4,9.94,53.58,1,9.68,53.24
2,9.48,1:02.82,3,9.51,1:03.02,4,9.56,1:03.14,1,9.50,1:02.74
1,9.04,1:11.86,3,9.18,1:12.20,4,9.22,1:12.36,2,9.24,1:11.98
1,9.30,1:21.16,3,9.33,1:21.53,4,9.36,1:21.72,2,9.18,1:21.16
2,9.54,1:30.699,3,9.71,1:31.238,4,9.71,1:31.427,1,9.34,1:30.492
