NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
2,7.01,7.01,1,6.83,6.83,3,7.16,7.16,4,7.34,7.34
2,8.89,15.90,1,8.90,15.73,3,8.92,16.08,4,8.86,16.20
2,8.36,24.26,1,8.44,24.17,3,8.39,24.47,4,8.40,24.60
1,8.54,32.80,2,8.76,32.93,3,8.53,33.00,4,8.51,33.11
1,8.79,41.59,2,8.94,41.87,4,9.06,42.037,3,8.85,41.941
