Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
2,14.53,14.53,1,14.44,14.44,4,14.64,14.64,3,14.57,14.57,5,14.71,14.71
2,10.89,25.42,3,11.12,25.56,4,11.03,25.67,1,10.69,25.26,5,11.05,25.76
3,10.83,36.25,2,10.59,36.15,4,10.70,36.37,1,10.77,36.03,5,10.68,36.44
3,10.56,46.81,4,10.72,46.87,1,10.35,46.72,2,10.75,46.78,5,10.49,46.93
2,9.75,56.56,5,10.31,57.18,1,9.73,56.45,4,10.30,57.08,3,9.94,56.87
2,9.84,1:06.40,5,9.88,1:07.06,1,9.87,1:06.32,4,9.82,1:06.90,3,9.88,1:06.75
1,9.64,1:16.04,4,9.63,1:16.69,2,9.82,1:16.14,5,9.83,1:16.73,3,9.85,1:16.60
1,9.82,1:25.86,4,10.00,1:26.69,2,9.81,1:25.95,5,10.06,1:26.79,3,10.05,1:26.65
1,9.86,1:35.72,0,10.34,1:37.03,2,9.82,1:35.77,5,10.38,1:37.175,4,10.40,1:37.050
