Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
3,10.129,10.129,4,10.520,10.520,2,10.088,10.088,1,10.034,10.034,6,10.698,10.698,5,10.696,10.696
2,13.321,23.450,5,13.143,23.663,1,13.274,23.362,6,13.838,23.871,4,12.896,23.594,3,12.823,23.518
1,12.504,35.954,4,12.640,36.302,2,12.661,36.023,5,12.644,36.514,6,13.471,37.064,3,12.506,36.024
3,12.602,48.555,4,12.565,48.867,2,12.453,48.476,6,12.547,49.061,5,11.927,48.990,1,12.342,48.365
1,12.392,1:00.947,4,12.408,1:01.274,2,12.508,1:00.984,6,12.522,1:01.582,5,12.380,1:01.369,3,12.633,1:00.998
1,12.043,1:12.990,4,11.956,1:13.230,2,12.106,1:13.089,5,11.918,1:13.499,6,12.132,1:13.501,3,12.133,1:13.130
2,10.505,1:23.495,3,10.322,1:23.552,4,10.551,1:23.640,1,9.834,1:23.333,6,10.297,1:23.797,5,10.573,1:23.702
2,10.151,1:33.645,3,10.099,1:33.650,4,10.053,1:33.693,1,10.146,1:33.478,6,10.334,1:34.130,5,10.101,1:33.803
2,10.208,1:43.853,3,10.224,1:43.874,4,10.298,1:43.991,1,10.246,1:43.724,6,10.198,1:44.327,5,10.271,1:44.073
2,10.224,1:54.077,4,10.292,1:54.165,3,10.164,1:54.154,1,10.110,1:53.834,6,10.080,1:54.406,5,10.244,1:54.317
2,10.202,2:04.278,3,10.274,2:04.438,4,10.509,2:04.663,1,10.136,2:03.969,5,10.325,2:04.731,6,10.415,2:04.732
2,10.615,2:14.893,5,10.566,2:15.004,4,10.265,2:14.928,1,10.096,2:14.065,6,10.321,2:15.051,3,10.193,2:14.924
4,11.118,2:26.010,5,11.067,2:26.070,2,10.063,2:24.991,1,10.061,2:24.125,3,10.061,2:25.112,6,11.378,2:26.302
5,11.60,2:37.608,4,11.32,2:37.383,3,10.53,2:35.516,1,10.29,2:34.406,2,10.13,2:35.239,6,11.45,2:37.743
