Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Balazs KOVER POSITION,Balazs KOVER LAP TIME,Balazs KOVER ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
4,7.206,7.206,1,6.653,6.653,2,7.116,7.116,5,7.274,7.274,3,7.189,7.189
4,9.219,16.424,1,9.559,16.212,2,9.159,16.274,5,9.734,17.007,3,9.159,16.348
4,9.100,25.524,2,9.182,25.393,1,8.953,25.227,5,9.473,26.480,3,9.090,25.437
3,9.734,35.258,5,13.899,39.292,2,9.207,34.433,4,9.642,36.122,1,8.978,34.414
3,10.13,45.386,5,20.90,1:00.189,1,9.31,43.735,4,10.15,46.264,2,9.42,43.829
