Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Yonaton Spencer SUBIN POSITION,Yonaton Spencer SUBIN LAP TIME,Yonaton Spencer SUBIN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
1,10.46,10.46,4,10.83,10.83,2,10.67,10.67,5,10.91,10.91,3,10.79,10.79
1,14.97,25.43,5,15.24,26.07,3,15.12,25.79,2,14.67,25.58,4,15.14,25.93
1,12.51,37.94,5,12.47,38.54,3,12.49,38.28,2,12.51,38.09,4,12.50,38.43
1,11.97,49.91,5,11.89,50.43,3,11.91,50.19,2,11.97,50.06,4,11.90,50.33
1,11.70,1:01.61,5,11.65,1:02.08,3,11.64,1:01.83,2,11.67,1:01.73,4,11.64,1:01.97
1,11.41,1:13.02,5,11.46,1:13.54,3,11.46,1:13.29,2,11.42,1:13.15,4,11.46,1:13.43
1,11.21,1:24.23,5,11.17,1:24.71,3,11.20,1:24.49,2,11.21,1:24.36,4,11.18,1:24.61
1,11.01,1:35.24,5,11.04,1:35.75,3,11.04,1:35.53,2,11.03,1:35.39,4,11.03,1:35.64
1,10.14,1:45.38,5,10.14,1:45.89,3,10.09,1:45.62,2,10.09,1:45.48,4,10.08,1:45.72
1,9.77,1:55.15,5,9.91,1:55.80,3,9.75,1:55.37,2,9.77,1:55.25,4,9.77,1:55.49
1,9.35,2:04.50,5,10.18,2:05.98,2,9.24,2:04.61,3,9.38,2:04.63,4,9.30,2:04.79
2,9.34,2:13.84,5,10.43,2:16.41,1,9.08,2:13.69,3,9.23,2:13.86,4,9.21,2:14.00
4,9.59,2:23.43,5,10.49,2:26.90,1,9.03,2:22.72,2,8.98,2:22.84,3,9.18,2:23.18
4,9.95,2:33.371,5,11.01,2:37.906,1,9.03,2:31.745,2,9.10,2:31.938,3,9.45,2:32.625
