Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME
4,14.578,14.578,3,14.534,14.534,1,14.227,14.227,2,14.447,14.447
4,11.196,25.775,1,10.791,25.325,2,11.139,25.366,3,11.261,25.708
3,9.929,35.704,2,10.244,35.570,1,10.116,35.482,4,10.195,35.904
3,10.388,46.092,2,10.187,45.757,1,10.204,45.686,4,10.346,46.250
3,9.888,55.980,2,9.952,55.709,1,9.945,55.632,4,10.400,56.649
4,9.823,1:05.804,2,9.815,1:05.524,1,9.851,1:05.482,3,9.138,1:05.787
2,9.683,1:15.486,1,9.828,1:15.352,4,14.120,1:19.602,3,12.587,1:18.374
1,9.658,1:25.144,2,10.053,1:25.405,4,20.143,1:39.745,3,11.013,1:29.388
1,10.351,1:35.496,2,10.858,1:36.264,4,15.733,1:55.478,3,11.470,1:40.858
