Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Zuzana JURISOVA POSITION,Zuzana JURISOVA LAP TIME,Zuzana JURISOVA ELAPSED TIME,Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME
2,7.706,7.706,1,7.546,7.546,4,7.877,7.877,5,7.971,7.971,3,7.845,7.845
2,10.125,17.830,1,9.846,17.392,4,10.312,18.188,3,9.932,17.902,5,10.470,18.314
4,9.985,27.815,1,9.690,27.081,5,9.670,27.858,2,9.657,27.559,3,9.465,27.778
5,9.947,37.762,1,9.746,36.827,3,9.514,37.371,2,9.657,37.215,4,9.688,37.466
5,10.26,48.019,1,10.02,46.839,3,9.78,47.143,2,9.90,47.106,4,9.84,47.305
