Lubomir KALCHEV POSITION,Lubomir KALCHEV LAP TIME,Lubomir KALCHEV ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,VAZHAYIL PEEDIKAYIL Muhammed Sinan POSITION,VAZHAYIL PEEDIKAYIL Muhammed Sinan LAP TIME,VAZHAYIL PEEDIKAYIL Muhammed Sinan ELAPSED TIME,MIGDALEOV Mikita POSITION,MIGDALEOV Mikita LAP TIME,MIGDALEOV Mikita ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME
1,12.84,12.84,3,13.11,13.11,5,14.14,14.14,2,12.95,12.95,4,13.31,13.31
1,9.83,22.67,3,9.77,22.88,5,10.86,25.00,2,9.82,22.77,4,9.69,23.00
1,9.71,32.38,3,9.62,32.50,5,11.34,36.34,4,9.86,32.63,2,9.39,32.39
2,9.20,41.58,3,9.25,41.75,5,11.57,47.91,4,9.34,41.97,1,8.95,41.34
2,8.96,50.54,3,8.96,50.71,5,13.05,1:00.96,4,8.98,50.95,1,9.03,50.37
2,9.15,59.69,3,9.18,59.89,5,13.09,1:14.05,4,9.06,1:00.01,1,9.23,59.60
2,9.53,1:09.22,3,9.47,1:09.36,5,14.70,1:28.75,4,9.36,1:09.37,1,9.51,1:09.11
2,9.59,1:18.81,4,9.99,1:19.35,5,13.75,1:42.50,3,9.68,1:19.05,1,9.68,1:18.79
1,9.85,1:28.66,3,11.35,1:30.70,5,13.97,1:56.47,2,9.79,1:28.84,4,31.62,1:50.41
