SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,LEPAGE-FARRELL Alex POSITION,LEPAGE-FARRELL Alex LAP TIME,LEPAGE-FARRELL Alex ELAPSED TIME,HUANG Lan POSITION,HUANG Lan LAP TIME,HUANG Lan ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
5,13.87,,4,13.80,13.80,1,13.70,13.70,3,13.77,13.77,2,13.74,13.74
1,10.37,,4,10.70,24.50,3,10.58,24.28,2,10.49,24.26,4,10.76,24.50
3,10.73,,5,10.61,35.11,3,10.69,34.97,2,10.68,34.94,1,10.29,34.79
3,10.77,,3,10.63,45.74,2,10.69,45.66,5,10.83,45.77,1,10.82,45.61
1,9.99,,5,10.25,55.99,3,10.16,55.82,4,10.12,55.89,2,10.16,55.77
2,10.01,,5,10.03,1:06.02,2,9.92,1:05.74,4,10.02,1:05.91,1,9.96,1:05.73
1,9.79,,5,9.81,1:15.83,2,9.80,1:15.54,4,9.80,1:15.71,3,9.82,1:15.55
2,9.82,,5,9.97,1:25.80,3,9.87,1:25.41,4,9.88,1:25.59,1,9.75,1:25.30
4,10.56,,3,9.97,1:35.773,1,10.31,1:35.726,2,10.17,1:35.768,4,11.70,1:37.000
