Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Cynthia MASCITTO POSITION,Cynthia MASCITTO LAP TIME,Cynthia MASCITTO ELAPSED TIME,Maria SCHULZE POSITION,Maria SCHULZE LAP TIME,Maria SCHULZE ELAPSED TIME
1,15.66,15.66,3,15.93,15.93,2,15.78,15.78,4,16.04,16.04
1,12.07,27.73,3,12.03,27.96,2,12.06,27.84,4,12.02,28.06
1,11.48,39.21,3,11.55,39.51,2,11.47,39.31,4,11.58,39.64
1,11.56,50.77,3,11.51,51.02,2,11.56,50.87,4,11.51,51.15
1,11.06,1:01.83,3,10.95,1:01.97,2,11.08,1:01.95,4,11.08,1:02.23
3,10.81,1:12.64,1,10.04,1:12.01,2,10.21,1:12.16,4,10.59,1:12.82
3,10.64,1:23.28,1,10.14,1:22.15,2,10.12,1:22.28,4,10.50,1:23.32
4,12.13,1:35.41,1,10.36,1:32.51,2,10.33,1:32.61,3,11.66,1:34.98
0,,PEN,1,10.22,1:42.724,2,10.27,1:42.876,3,11.23,1:46.210
