BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,6.83,6.83,2,7.06,7.06,3,7.40,7.40,4,7.57,7.57
1,8.97,15.80,2,9.00,16.06,3,8.97,16.37,4,9.17,16.74
1,8.60,24.40,2,8.51,24.57,3,8.50,24.87,4,8.65,25.39
1,8.78,33.18,2,8.69,33.26,3,8.54,33.41,4,8.69,34.08
3,9.38,42.552,1,8.93,42.185,2,8.95,42.352,4,8.82,42.897
