Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME
1,9.670,1:00.580,3,9.730,1:00.900,4,12.400,1:03.350,2,9.590,1:00.630
1,9.760,1:10.340,4,9.930,1:10.840,2,7.030,1:10.380,3,9.820,1:10.450
2,9.980,1:20.330,4,9.760,1:20.600,1,9.850,1:20.230,3,10.010,1:20.470
3,10.100,1:30.430,4,10.120,1:30.720,1,10.010,1:30.250,2,9.890,1:30.360
2,10.090,1:40.520,4,10.520,1:41.250,1,10.140,1:40.390,3,10.220,1:40.590
