KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME
2,12.40,12.40,3,12.53,12.53,1,12.14,12.14,4,12.69,12.69
2,9.05,21.45,3,9.04,21.57,1,9.12,21.26,4,8.96,21.65
2,9.17,30.62,4,9.20,30.77,1,9.25,30.51,3,9.03,30.68
2,9.32,39.94,4,9.37,40.14,1,9.35,39.86,3,9.35,40.03
2,9.42,49.36,4,9.62,49.76,1,9.35,49.21,3,9.58,49.61
2,9.14,58.50,4,9.12,58.88,1,9.18,58.39,3,9.19,58.80
2,9.06,1:07.56,4,9.07,1:07.95,1,9.08,1:07.47,3,9.07,1:07.87
2,9.14,1:16.70,4,8.99,1:16.94,1,9.09,1:16.56,3,8.96,1:16.83
2,9.10,1:25.80,4,9.12,1:26.06,1,9.10,1:25.66,3,9.21,1:26.04
2,9.09,1:34.89,3,8.99,1:35.05,1,9.15,1:34.81,4,9.29,1:35.33
2,9.24,1:44.13,3,9.25,1:44.30,1,9.22,1:44.03,4,9.24,1:44.57
2,9.06,1:53.19,3,9.04,1:53.34,1,9.01,1:53.04,4,9.32,1:53.89
2,9.10,2:02.29,3,9.06,2:02.40,1,9.16,2:02.20,4,8.80,2:02.69
2,9.24,2:11.53,3,9.24,2:11.64,1,9.22,2:11.42,4,9.47,2:12.16
2,9.30,2:20.83,3,9.30,2:20.94,1,9.23,2:20.65,4,8.85,2:21.01
2,9.39,2:30.22,3,9.40,2:30.34,1,9.47,2:30.12,4,9.44,2:30.45
1,9.24,2:39.46,3,9.50,2:39.84,2,9.47,2:39.59,4,9.46,2:39.91
1,9.01,2:48.47,3,8.93,2:48.77,2,8.95,2:48.54,4,9.45,2:49.36
1,8.54,2:57.01,3,8.84,2:57.61,2,8.96,2:57.50,4,8.76,2:58.12
1,9.31,3:06.32,3,8.99,3:06.60,2,8.94,3:06.44,4,9.29,3:07.41
1,8.99,3:15.31,3,8.91,3:15.51,2,8.97,3:15.41,4,8.67,3:16.08
1,9.19,3:24.50,3,9.16,3:24.67,2,9.18,3:24.59,4,9.12,3:25.20
1,9.06,3:33.56,3,9.13,3:33.80,2,9.07,3:33.66,4,9.21,3:34.41
1,8.88,3:42.44,3,8.84,3:42.64,2,8.84,3:42.50,4,9.48,3:43.89
1,8.66,3:51.10,3,8.99,3:51.63,2,8.99,3:51.49,4,8.91,3:52.80
1,9.31,4:00.41,3,9.04,4:00.67,2,9.01,4:00.50,4,9.79,4:02.59
1,9.04,4:09.45,3,9.02,4:09.69,2,9.07,4:09.57,4,8.90,4:11.49
1,8.69,4:18.14,3,9.08,4:18.77,2,9.08,4:18.65,4,9.07,4:20.56
1,9.48,4:27.62,3,9.10,4:27.87,2,9.06,4:27.71,4,9.41,4:29.97
1,8.92,4:36.54,3,8.85,4:36.72,2,8.89,4:36.60,4,9.85,4:39.82
1,9.04,4:45.58,3,9.01,4:45.73,2,9.05,4:45.65,4,9.73,4:49.55
1,8.93,4:54.51,3,9.02,4:54.75,2,8.96,4:54.61,4,9.70,4:59.25
1,8.88,5:03.39,3,8.82,5:03.57,2,8.85,5:03.46,4,8.89,5:08.14
1,9.03,5:12.42,3,9.14,5:12.71,2,9.11,5:12.57,4,9.21,5:17.35
1,9.11,5:21.53,3,9.02,5:21.73,2,9.05,5:21.62,4,16.10,5:33.45
1,8.88,5:30.41,3,8.88,5:30.61,2,8.86,5:30.48,4,10.14,5:43.59
1,8.54,5:38.95,2,8.62,5:39.23,3,9.09,5:39.57,4,10.02,5:53.61
1,9.28,5:48.23,2,9.09,5:48.32,3,8.84,5:48.41,4,10.17,6:03.78
1,8.79,5:57.02,2,8.78,5:57.10,3,8.82,5:57.23,4,9.70,6:13.48
1,8.62,6:05.64,2,8.72,6:05.82,3,8.98,6:06.21,4,9.67,6:23.15
1,8.68,6:14.32,2,8.65,6:14.47,3,8.90,6:15.11,4,9.11,6:32.26
1,8.52,6:22.84,2,8.66,6:23.13,3,8.78,6:23.89,4,9.66,6:41.92
1,8.67,6:31.51,2,8.49,6:31.62,3,8.86,6:32.75,4,9.94,6:51.86
1,8.45,6:39.96,2,8.52,6:40.14,3,8.71,6:41.46,4,10.05,7:01.91
1,8.63,6:48.568,2,8.56,6:48.679,3,8.81,6:50.251,4,11.05,7:12.935
