JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME
4,8.845,8.845,2,8.603,8.603,5,8.938,8.938,6,8.953,8.953,3,8.619,8.619,1,8.388,8.388
4,10.873,19.718,5,11.173,19.776,3,10.645,19.583,6,11.059,20.012,1,10.619,19.238,2,10.972,19.360
5,10.780,30.499,4,10.546,30.322,3,10.512,30.095,6,10.538,30.550,1,10.779,30.016,2,10.730,30.090
5,11.023,41.521,4,11.198,41.520,2,11.228,41.323,6,11.318,41.867,1,11.279,41.296,3,11.287,41.377
5,10.619,52.140,3,10.228,51.748,1,10.338,51.661,6,10.363,52.230,2,10.367,51.662,4,10.529,51.906
5,10.560,1:02.700,1,10.442,1:02.189,3,10.673,1:02.334,6,10.590,1:02.820,2,10.630,1:02.292,4,10.513,1:02.420
5,10.581,1:13.281,1,10.529,1:12.718,4,10.835,1:13.168,6,10.562,1:13.383,2,10.632,1:12.924,3,10.531,1:12.951
5,10.406,1:23.687,1,10.410,1:23.128,2,10.176,1:23.344,6,10.500,1:23.883,3,10.581,1:23.505,4,10.615,1:23.566
5,10.034,1:33.721,1,10.084,1:33.211,3,10.144,1:33.488,6,10.066,1:33.948,2,9.960,1:33.465,4,9.985,1:33.551
5,9.691,1:43.412,1,9.550,1:42.761,2,9.516,1:43.004,6,9.593,1:43.542,3,9.663,1:43.129,4,9.681,1:43.232
5,9.530,1:52.942,1,9.621,1:52.383,2,9.690,1:52.694,6,9.554,1:53.096,3,9.605,1:52.733,4,9.502,1:52.734
3,9.484,2:02.426,1,9.800,2:02.182,2,9.560,2:02.254,6,9.689,2:02.784,4,9.698,2:02.431,5,9.889,2:02.623
1,9.120,2:11.546,2,9.478,2:11.660,3,9.638,2:11.892,5,9.567,2:12.351,4,9.704,2:12.136,6,9.839,2:12.461
1,9.721,2:21.267,2,9.979,2:21.639,4,10.400,2:22.292,5,10.569,2:22.920,6,10.842,2:22.978,3,9.821,2:22.282
