XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,CHEON Hee Jung POSITION,CHEON Hee Jung LAP TIME,CHEON Hee Jung ELAPSED TIME
1,14.16,14.16,2,14.36,14.36,3,14.48,14.48,4,14.64,14.64
1,11.36,25.52,2,11.28,25.64,3,11.17,25.65,4,11.19,25.83
2,10.23,35.75,3,10.26,35.90,1,9.84,35.49,4,10.19,36.02
2,9.69,45.44,3,9.72,45.62,1,9.95,45.44,4,9.61,45.63
1,9.86,55.30,4,10.02,55.64,2,9.95,55.39,3,9.88,55.51
1,9.86,1:05.16,4,9.85,1:05.49,3,9.98,1:05.37,2,9.76,1:05.27
1,9.76,1:14.92,4,9.88,1:15.37,3,9.88,1:15.25,2,9.76,1:15.03
1,9.65,1:24.57,4,10.01,1:25.38,3,9.92,1:25.17,2,9.62,1:24.65
1,9.69,1:34.256,4,9.94,1:35.313,3,9.90,1:35.061,2,9.74,1:34.386
