SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
5,14.01,14.01,4,13.96,13.96,1,13.84,13.84,3,13.85,13.85,1,13.84,13.84
5,10.79,24.80,4,10.74,24.70,3,10.75,24.59,2,10.68,24.53,1,10.57,24.41
3,10.45,35.25,2,10.41,35.11,5,10.70,35.29,3,10.72,35.25,1,10.63,35.04
1,9.51,44.76,3,9.86,44.97,5,9.85,45.14,4,9.82,45.07,2,9.83,44.87
1,9.93,54.69,3,9.91,54.88,4,9.80,54.94,5,9.90,54.97,2,9.92,54.79
3,9.84,1:04.53,2,9.49,1:04.37,4,9.68,1:04.62,5,9.77,1:04.74,1,9.57,1:04.36
3,9.58,1:14.11,1,9.44,1:13.81,5,9.89,1:14.51,4,9.51,1:14.25,2,9.62,1:13.98
3,9.36,1:23.47,1,9.37,1:23.18,5,9.90,1:24.41,4,9.43,1:23.68,2,9.34,1:23.32
3,9.24,1:32.712,1,9.38,1:32.561,5,10.54,1:34.952,4,9.54,1:33.220,2,9.28,1:32.607
