Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,14.931,14.931,2,15.104,15.104,4,15.618,15.618,3,15.259,15.259
1,11.180,26.111,3,11.293,26.396,4,10.841,26.458,2,11.013,26.272
1,10.410,36.521,4,10.920,37.316,2,10.413,36.870,3,10.917,37.188
1,10.149,46.669,4,10.609,47.924,3,10.182,47.052,2,9.788,46.975
1,9.742,56.410,4,10.689,58.613,2,9.465,56.516,3,9.765,56.740
2,9.613,1:06.023,4,10.902,1:09.515,1,9.468,1:05.984,3,9.508,1:06.248
2,9.565,1:15.588,4,11.411,1:20.925,1,9.577,1:15.561,3,9.515,1:15.762
3,9.861,1:25.448,4,11.665,1:32.590,1,9.439,1:24.999,2,9.488,1:25.250
3,10.64,1:36.085,4,12.47,1:45.056,2,10.50,1:35.495,1,9.90,1:35.148
