Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
4,11.06,11.06,3,10.95,10.95,5,11.25,11.25,6,11.37,11.37,2,10.89,10.89,1,10.74,10.74
1,15.99,27.05,4,16.37,27.32,5,16.26,27.51,6,16.29,27.66,2,16.19,27.08,3,16.46,27.20
1,15.06,42.11,4,15.13,42.45,5,15.01,42.52,6,15.08,42.74,2,15.16,42.24,3,15.08,42.28
2,15.53,57.64,5,15.53,57.98,6,15.56,58.08,1,14.85,57.59,3,15.51,57.75,4,15.60,57.88
2,13.21,1:10.85,5,13.16,1:11.14,6,13.15,1:11.23,1,13.09,1:10.68,3,13.15,1:10.90,4,13.13,1:11.01
1,12.63,1:23.48,5,12.92,1:24.06,6,12.92,1:24.15,2,12.83,1:23.51,3,12.75,1:23.65,4,12.82,1:23.83
3,11.08,1:34.56,6,10.75,1:34.81,5,10.65,1:34.80,4,11.13,1:34.64,1,10.73,1:34.38,2,10.72,1:34.55
3,10.16,1:44.72,6,10.13,1:44.94,4,9.99,1:44.79,5,10.30,1:44.94,1,10.11,1:44.49,2,10.03,1:44.58
3,9.66,1:54.38,6,9.68,1:54.62,5,9.68,1:54.47,4,9.46,1:54.40,1,9.63,1:54.12,2,9.66,1:54.24
3,9.43,2:03.81,5,9.30,2:03.92,6,9.55,2:04.02,4,9.46,2:03.86,1,9.48,2:03.60,2,9.45,2:03.69
4,9.60,2:13.41,3,9.42,2:13.34,6,9.52,2:13.54,5,9.65,2:13.51,2,9.65,2:13.25,1,9.52,2:13.21
4,9.78,2:23.19,6,10.11,2:23.45,5,9.66,2:23.20,2,9.56,2:23.07,3,9.88,2:23.13,1,9.67,2:22.88
4,9.58,2:32.77,6,9.61,2:33.06,3,9.43,2:32.63,1,9.38,2:32.45,5,9.88,2:33.01,2,9.60,2:32.48
3,9.59,2:42.357,4,9.35,2:42.407,6,29.98,3:02.602,1,9.53,2:41.972,5,10.53,2:43.533,2,9.83,2:42.307
