Alexis MARCEAU POSITION,Alexis MARCEAU LAP TIME,Alexis MARCEAU ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,LEE Sihyeong POSITION,LEE Sihyeong LAP TIME,LEE Sihyeong ELAPSED TIME
2,13.46,13.46,1,13.33,13.33,2,13.46,13.46,4,13.80,13.80
1,10.37,23.83,2,10.70,24.03,3,10.68,24.14,4,10.51,24.31
4,10.69,34.52,1,9.83,33.86,2,9.73,33.87,3,9.73,34.04
1,8.36,42.88,4,9.48,43.34,2,9.12,42.99,3,9.20,43.24
1,9.04,51.92,4,8.90,52.24,2,8.98,51.97,3,8.97,52.21
1,8.86,1:00.78,4,8.95,1:01.19,2,8.91,1:00.88,3,8.81,1:01.02
1,8.93,1:09.71,4,8.89,1:10.08,2,8.88,1:09.76,3,8.97,1:09.99
1,8.91,1:18.62,4,8.94,1:19.02,2,8.97,1:18.73,3,8.89,1:18.88
2,9.38,1:28.003,3,9.26,1:28.282,1,9.18,1:27.910,4,9.60,1:28.487
