SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
1,7.73,7.73,5,8.20,8.20,3,7.85,7.85,2,7.78,7.78,4,7.88,7.88,6,8.33,8.33,7,8.46,8.46
2,10.78,18.52,5,10.58,18.78,3,10.66,18.52,4,10.76,18.54,1,10.53,18.42,6,10.65,18.98,7,10.54,19.00
2,9.88,28.40,6,10.09,28.88,4,10.06,28.58,5,10.06,28.61,3,10.07,28.49,1,9.27,28.25,7,10.08,29.09
2,9.56,37.97,6,9.51,38.39,4,9.50,38.08,5,9.56,38.18,3,9.55,38.04,1,9.57,37.82,7,9.52,38.61
3,9.61,47.58,6,9.65,48.04,1,9.45,47.54,5,9.55,47.73,2,9.53,47.58,4,9.75,47.58,7,9.49,48.10
4,9.71,57.29,6,9.59,57.64,5,9.80,57.35,2,9.52,57.26,3,9.68,57.27,1,9.59,57.17,7,9.63,57.74
2,9.74,1:07.04,6,9.79,1:07.44,5,9.98,1:07.33,4,9.99,1:07.25,3,9.79,1:07.06,1,9.84,1:07.02,7,9.76,1:07.51
1,9.27,1:16.31,6,9.47,1:16.91,2,9.02,1:16.35,5,9.31,1:16.56,4,9.43,1:16.49,3,9.40,1:16.42,7,9.48,1:16.99
1,9.25,1:25.57,5,9.54,1:26.46,7,23.00,1:39.35,3,9.27,1:25.83,2,9.10,1:25.59,4,9.82,1:26.24,6,9.87,1:26.86
1,9.69,1:35.26,4,9.26,1:35.73,7,11.58,1:50.94,2,9.45,1:35.29,3,9.78,1:35.38,5,9.53,1:35.78,6,9.83,1:36.70
3,9.62,1:44.88,4,9.45,1:45.19,7,11.61,2:02.55,1,9.55,1:44.85,2,9.47,1:44.86,5,9.58,1:45.36,6,10.70,1:47.40
1,9.39,1:54.28,4,9.38,1:54.57,7,13.57,2:16.12,3,9.45,1:54.31,2,9.43,1:54.29,5,9.42,1:54.78,6,10.41,1:57.82
1,9.44,2:03.72,4,9.61,2:04.18,7,11.40,2:27.53,2,9.42,2:03.73,3,9.54,2:03.83,5,9.62,2:04.40,6,10.86,2:08.68
3,10.18,2:13.899,2,9.64,2:13.813,0,,DQ,1,9.88,2:13.610,0,,DQ,4,9.57,2:13.964,5,11.09,2:19.768
