Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
4,9.66,9.66,1,9.17,9.17,2,9.35,9.35,6,9.99,9.99,5,9.81,9.81,3,9.47,9.47,7,10.11,10.11
4,12.54,22.20,1,12.63,21.80,2,12.55,21.90,6,12.54,22.53,5,12.53,22.34,3,12.60,22.07,7,12.53,22.64
3,11.60,33.80,1,11.81,33.61,2,11.82,33.72,5,11.36,33.89,6,11.64,33.98,4,11.76,33.83,7,11.46,34.10
4,10.62,44.42,1,10.47,44.08,3,10.59,44.31,2,10.34,44.23,6,10.75,44.73,5,10.70,44.53,7,10.83,44.93
4,10.45,54.87,1,10.51,54.59,3,10.46,54.77,2,10.48,54.71,6,10.38,55.11,5,10.47,55.00,7,10.30,55.23
4,10.53,1:05.40,1,10.58,1:05.17,2,10.48,1:05.25,3,10.65,1:05.36,6,10.55,1:05.66,5,10.51,1:05.51,7,10.55,1:05.78
4,10.39,1:15.79,1,10.27,1:15.44,2,10.26,1:15.51,3,10.28,1:15.64,6,10.35,1:16.01,5,10.41,1:15.92,7,10.36,1:16.14
4,9.89,1:25.68,3,10.09,1:25.53,1,9.88,1:25.39,2,9.87,1:25.51,6,9.88,1:25.89,5,9.84,1:25.76,7,9.90,1:26.04
3,9.86,1:35.54,5,10.19,1:35.72,1,9.94,1:35.33,2,9.93,1:35.44,6,10.01,1:35.90,4,9.95,1:35.71,7,9.99,1:36.03
3,10.11,1:45.65,5,10.18,1:45.90,1,10.11,1:45.44,2,10.10,1:45.54,6,10.10,1:46.00,4,10.02,1:45.73,7,10.13,1:46.16
3,10.00,1:55.65,6,10.18,1:56.08,1,10.09,1:55.53,2,10.08,1:55.62,4,9.70,1:55.70,5,10.12,1:55.85,7,10.01,1:56.17
4,10.13,2:05.78,7,10.39,2:06.47,2,9.79,2:05.32,3,10.11,2:05.73,1,9.39,2:05.09,5,10.16,2:06.01,6,10.00,2:06.17
4,10.16,2:15.94,7,10.70,2:17.17,2,10.05,2:15.37,3,9.97,2:15.70,1,9.50,2:14.59,5,10.14,2:16.15,6,10.06,2:16.23
4,10.11,2:26.050,7,11.00,2:28.167,3,10.31,2:25.676,2,9.95,2:25.649,1,10.06,2:24.647,6,10.17,2:26.316,5,10.05,2:26.277
