Yoko IIZUKA POSITION,Yoko IIZUKA LAP TIME,Yoko IIZUKA ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME
1,13.986,13.986,4,14.123,14.123,2,14.018,14.018,3,14.072,14.072
3,11.219,25.205,4,11.184,25.307,2,11.185,25.203,1,11.121,25.192
1,11.043,36.247,4,11.243,36.550,2,11.167,36.369,3,11.231,36.423
1,11.685,47.932,4,11.692,48.241,2,11.629,47.997,3,11.629,48.051
2,10.703,58.635,3,10.429,58.670,1,10.133,58.130,4,10.716,58.767
3,10.171,1:08.805,2,10.004,1:08.673,1,10.109,1:08.238,4,10.097,1:08.863
4,10.443,1:19.248,2,9.683,1:18.356,1,9.957,1:18.195,3,9.722,1:18.585
4,10.785,1:30.032,2,9.880,1:28.236,1,9.854,1:28.048,3,9.917,1:28.501
4,11.37,1:41.393,1,10.22,1:38.454,2,10.44,1:38.479,3,10.06,1:38.556
