XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
3,10.24,10.24,4,10.43,10.43,1,9.87,,2,10.03,10.03,6,10.58,10.58,5,10.57,10.57
3,13.58,23.82,6,13.65,24.08,1,13.62,,2,13.60,23.63,4,13.31,23.89,5,13.38,23.95
4,10.51,34.33,6,10.48,34.56,2,10.63,,3,10.62,34.25,1,9.34,33.23,5,10.45,34.40
4,10.39,44.72,6,10.37,44.93,2,10.37,,3,10.36,44.61,1,8.95,42.18,5,10.44,44.84
4,10.56,55.28,6,10.58,55.51,2,10.56,,3,10.57,55.18,1,9.13,51.31,5,10.56,55.40
4,10.49,1:05.77,6,10.49,1:06.00,2,10.46,,3,10.46,1:05.64,1,9.34,1:00.65,5,10.47,1:05.87
4,10.22,1:15.99,6,10.19,1:16.19,2,10.28,,3,10.25,1:15.89,1,9.77,1:10.42,5,10.22,1:16.09
4,9.83,1:25.82,6,9.80,1:25.99,3,9.90,,2,9.59,1:25.48,1,9.93,1:20.35,5,9.81,1:25.90
5,9.33,1:35.15,6,9.32,1:35.31,3,9.32,,2,9.37,1:34.85,1,10.20,1:30.55,4,9.24,1:35.14
6,9.22,1:44.37,4,8.94,1:44.25,5,9.25,,3,9.28,1:44.13,1,10.57,1:41.12,2,8.97,1:44.11
5,9.17,1:53.54,2,8.73,1:52.98,4,9.25,,6,9.67,1:53.80,1,10.60,1:51.72,3,9.11,1:53.22
3,8.94,2:02.48,1,8.84,2:01.82,5,9.32,,6,9.49,2:03.29,4,10.92,2:02.64,2,9.00,2:02.22
3,9.16,2:11.64,1,9.02,2:10.84,4,9.38,,5,9.78,2:13.07,6,11.29,2:13.93,2,8.73,2:10.95
3,9.59,2:21.215,2,9.26,2:20.078,4,9.69,,4,10.31,2:23.361,5,12.02,2:25.926,1,9.11,2:20.048
