KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
5,9.37,9.37,1,9.10,9.10,3,9.13,9.13,2,9.11,9.11,6,9.46,9.46,4,9.33,9.33
5,12.02,21.39,2,11.90,21.00,1,11.79,20.92,3,12.05,21.16,6,12.05,21.51,4,11.92,21.25
5,11.26,32.65,1,11.19,32.19,2,11.30,32.22,3,11.25,32.41,6,11.28,32.79,4,11.25,32.50
5,10.58,43.23,1,10.60,42.79,2,10.65,42.87,3,10.56,42.97,6,10.59,43.38,4,10.58,43.08
4,10.63,53.86,1,10.83,53.62,2,10.84,53.71,3,10.85,53.82,6,10.74,54.12,5,10.83,53.91
3,10.31,1:04.17,1,10.34,1:03.96,2,10.36,1:04.07,4,10.47,1:04.29,6,10.43,1:04.55,5,10.47,1:04.38
3,10.14,1:14.31,1,10.12,1:14.08,2,10.13,1:14.20,4,10.15,1:14.44,6,10.17,1:14.72,5,10.17,1:14.55
3,9.91,1:24.22,1,9.93,1:24.01,2,9.95,1:24.15,4,9.90,1:24.34,6,9.86,1:24.58,5,9.88,1:24.43
3,9.86,1:34.08,1,9.86,1:33.87,2,9.82,1:33.97,4,9.86,1:34.20,6,9.84,1:34.42,5,9.83,1:34.26
3,9.76,1:43.84,2,9.86,1:43.73,1,9.62,1:43.59,4,9.73,1:43.93,6,9.87,1:44.29,5,9.78,1:44.04
3,9.74,1:53.58,2,9.73,1:53.46,1,9.78,1:53.37,4,9.75,1:53.68,6,9.92,1:54.21,5,9.74,1:53.78
3,9.79,2:03.37,2,9.85,2:03.31,1,9.81,2:03.18,4,9.81,2:03.49,6,10.15,2:04.36,5,9.97,2:03.75
1,9.53,2:12.90,4,10.04,2:13.35,3,9.98,2:13.16,2,9.59,2:13.08,6,10.40,2:14.76,5,10.40,2:14.15
1,9.62,2:22.516,4,9.85,2:23.198,3,9.91,2:23.069,2,9.51,2:22.583,6,10.71,2:25.462,5,10.96,2:25.102
