ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
1,16.664,16.664,3,16.834,16.834,4,16.864,16.864,2,16.693,16.693
2,13.088,29.752,1,12.887,29.721,4,12.971,29.835,3,13.104,29.796
2,10.699,40.451,4,10.763,40.483,3,10.630,40.464,1,10.561,40.356
3,10.185,50.636,2,10.135,50.618,4,10.222,50.686,1,10.129,50.485
3,9.855,1:00.490,2,9.739,1:00.356,1,9.622,1:00.308,4,10.047,1:00.532
4,9.708,1:10.198,3,9.799,1:10.155,1,9.656,1:09.964,2,9.512,1:10.043
1,9.411,1:19.609,3,9.498,1:19.653,2,9.678,1:19.642,4,9.736,1:19.779
3,9.886,1:29.494,2,9.546,1:29.198,1,9.517,1:29.158,4,11.909,1:31.687
2,10.60,1:40.092,1,10.05,1:39.239,0,,DQ,3,9.60,1:41.282
