LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,6.674,6.674,1,6.528,6.528,4,8.794,8.794,3,6.859,6.859
2,9.079,15.752,1,8.921,15.449,4,11.605,20.398,3,8.946,15.805
2,8.696,24.447,1,8.901,24.349,4,10.949,31.346,3,8.739,24.544
2,8.804,33.251,1,8.799,33.148,4,11.577,42.923,3,8.889,33.432
2,9.18,42.423,1,9.21,42.355,4,12.17,55.087,3,9.17,42.595
