JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME
1,13.39,13.39,3,13.57,13.57,2,13.47,13.47,4,13.67,13.67,5,13.75,13.75,6,13.86,13.86
1,10.68,24.07,3,10.65,24.22,2,10.61,24.08,4,10.66,24.33,6,10.73,24.48,5,10.49,24.35
2,9.86,33.93,3,9.81,34.03,1,9.55,33.63,4,9.85,34.18,6,9.86,34.34,5,9.97,34.32
2,9.32,43.25,3,9.30,43.33,1,9.43,43.06,4,9.31,43.49,5,9.24,43.58,6,9.68,44.00
2,9.27,52.52,3,9.28,52.61,1,9.30,52.36,4,9.22,52.71,5,9.23,52.81,6,9.28,53.28
2,9.31,1:01.83,3,9.26,1:01.87,1,9.37,1:01.73,4,9.30,1:02.01,5,9.33,1:02.14,6,9.54,1:02.82
2,9.38,1:11.21,1,9.07,1:10.94,3,9.51,1:11.24,4,9.38,1:11.39,5,9.31,1:11.45,6,10.17,1:12.99
2,9.52,1:20.73,1,9.05,1:19.99,3,9.63,1:20.87,4,9.61,1:21.00,5,9.61,1:21.06,6,10.86,1:23.85
2,9.67,1:30.40,1,9.32,1:29.31,3,9.69,1:30.561,4,9.80,1:30.802,5,9.83,1:30.890,6,10.99,1:34.849
