Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME
6,10.08,10.08,5,9.93,9.93,1,9.40,9.40,3,9.66,9.66,2,9.48,9.48,4,9.78,9.78
6,11.66,21.74,5,11.66,21.59,1,11.74,21.14,3,11.64,21.30,2,11.75,21.23,4,11.66,21.44
6,11.39,33.13,5,11.43,33.02,1,11.50,32.64,3,11.52,32.82,2,11.49,32.72,4,11.45,32.89
5,11.18,44.31,6,11.38,44.40,1,11.31,43.95,3,11.31,44.13,2,11.32,44.04,4,11.32,44.21
5,11.33,55.64,6,11.35,55.75,1,11.29,55.24,3,11.33,55.46,2,11.29,55.33,4,11.32,55.53
5,11.35,1:06.99,6,11.36,1:07.11,1,11.39,1:06.63,3,11.38,1:06.84,2,11.40,1:06.73,4,11.38,1:06.91
4,11.33,1:18.32,6,11.45,1:18.56,1,11.43,1:18.06,3,11.39,1:18.23,2,11.42,1:18.15,5,11.52,1:18.43
4,11.21,1:29.53,6,11.20,1:29.76,1,11.19,1:29.25,3,11.23,1:29.46,2,11.19,1:29.34,5,11.22,1:29.65
6,10.51,1:40.04,3,10.09,1:39.85,1,10.47,1:39.72,4,10.42,1:39.88,2,10.46,1:39.80,5,10.35,1:40.00
4,9.87,1:49.91,1,9.64,1:49.49,5,10.20,1:49.92,3,9.94,1:49.82,2,9.81,1:49.61,6,10.13,1:50.13
4,9.79,1:59.70,1,9.87,1:59.36,6,10.55,2:00.47,3,9.74,1:59.56,2,9.85,1:59.46,5,10.01,2:00.14
4,9.88,2:09.58,1,9.96,2:09.32,6,10.58,2:11.05,3,9.93,2:09.49,2,9.94,2:09.40,5,10.25,2:10.39
6,31.46,2:41.04,1,10.04,2:19.36,5,11.15,2:22.20,3,10.05,2:19.54,2,10.02,2:19.42,4,10.73,2:21.12
6,21.62,3:02.652,1,10.23,2:29.584,5,11.73,2:33.926,3,10.12,2:29.652,2,10.20,2:29.613,4,11.21,2:32.322
