HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,KIM Dong Wook POSITION,KIM Dong Wook LAP TIME,KIM Dong Wook ELAPSED TIME
2,12.77,12.77,4,12.95,12.95,5,13.11,13.11,1,12.76,,2,12.77,12.77
2,9.38,22.15,4,9.42,22.37,5,9.36,22.47,1,9.27,,3,9.50,22.27
1,8.88,31.03,4,8.99,31.36,5,8.98,31.45,2,9.09,,3,8.99,31.26
1,8.96,39.99,4,8.96,40.32,5,8.96,40.41,2,8.96,,3,8.96,40.22
1,9.01,49.00,4,9.02,49.34,5,9.03,49.44,2,9.00,,3,9.01,49.23
1,9.07,58.07,4,9.09,58.43,5,9.11,58.55,2,9.03,,3,9.06,58.29
5,9.55,1:07.62,3,8.91,1:07.34,4,8.89,1:07.44,2,9.18,,1,8.82,1:07.11
4,9.32,1:16.94,3,9.21,1:16.55,2,8.96,1:16.40,5,9.66,,1,8.94,1:16.05
4,9.68,1:26.62,3,9.06,1:25.61,2,8.84,1:25.24,5,9.96,,1,9.06,1:25.11
