Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
6,10.00,10.00,5,9.80,,4,9.68,9.68,3,9.67,9.67,1,9.52,9.52,1,9.52,9.52
6,12.80,22.80,5,12.87,,3,12.72,22.40,4,12.84,22.51,2,12.72,22.24,1,12.65,22.17
6,12.28,35.08,5,12.26,,3,12.28,34.68,4,12.28,34.79,2,12.29,34.53,1,12.27,34.44
6,12.05,47.13,5,12.05,,3,12.05,46.73,4,12.05,46.84,2,12.05,46.58,1,12.04,46.48
6,11.44,58.57,4,11.34,,3,11.52,58.25,5,11.55,58.39,2,11.55,58.13,1,11.58,58.06
6,10.70,1:09.27,3,10.64,,3,10.71,1:08.96,5,10.70,1:09.09,2,10.70,1:08.83,1,10.67,1:08.73
6,9.41,1:18.68,1,9.26,,4,9.41,1:18.37,5,9.44,1:18.53,2,9.48,1:18.31,3,9.61,1:18.34
5,9.20,1:27.88,1,9.32,,3,9.34,1:27.71,4,9.25,1:27.78,2,9.30,1:27.61,6,9.66,1:28.00
5,9.88,1:37.76,1,9.75,,3,9.82,1:37.53,4,9.85,1:37.63,2,9.79,1:37.40,6,9.87,1:37.87
5,9.83,1:47.59,1,9.93,,3,9.84,1:47.37,4,9.79,1:47.42,2,9.88,1:47.28,6,9.84,1:47.71
4,9.23,1:56.82,1,9.32,,2,9.28,1:56.65,5,9.55,1:56.97,3,9.53,1:56.81,6,9.36,1:57.07
4,9.29,2:06.11,1,9.21,,2,9.22,2:05.87,6,9.37,2:06.34,3,9.19,2:06.00,5,9.11,2:06.18
3,9.17,2:15.28,1,9.35,,2,9.35,2:15.22,6,9.18,2:15.52,4,9.32,2:15.32,5,9.21,2:15.39
2,9.46,2:24.723,1,9.55,,2,9.49,2:24.71,4,9.38,2:24.890,5,9.73,2:25.028,3,9.40,2:24.779
