Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,11.25,11.25,4,11.64,11.64,3,11.44,11.44,1,11.14,11.14,5,11.79,11.79
3,17.48,28.73,2,17.03,28.67,4,17.46,28.90,1,17.36,28.50,5,17.28,29.07
3,12.16,40.89,1,12.02,40.69,4,12.11,41.01,2,12.28,40.78,5,12.05,41.12
3,11.82,52.71,1,11.78,52.47,4,11.85,52.86,2,11.82,52.60,5,11.84,52.96
1,11.28,1:03.99,2,11.66,1:04.13,4,11.50,1:04.36,3,11.63,1:04.23,5,11.50,1:04.46
2,11.16,1:15.15,1,10.97,1:15.10,4,10.98,1:15.34,3,11.03,1:15.26,5,11.02,1:15.48
4,10.35,1:25.50,3,10.36,1:25.46,1,10.06,1:25.40,2,10.17,1:25.43,5,10.21,1:25.69
3,9.36,1:34.86,4,9.54,1:35.00,2,9.44,1:34.84,1,9.37,1:34.80,5,9.45,1:35.14
3,9.26,1:44.12,4,9.22,1:44.22,1,9.20,1:44.04,2,9.31,1:44.11,5,9.19,1:44.33
1,8.75,1:52.87,4,9.01,1:53.23,2,9.01,1:53.05,3,9.04,1:53.15,5,8.98,1:53.31
1,8.66,2:01.53,4,8.68,2:01.91,2,8.65,2:01.70,3,8.73,2:01.88,5,8.71,2:02.02
1,8.76,2:10.29,3,8.55,2:10.46,2,8.68,2:10.38,5,8.88,2:10.76,4,8.55,2:10.57
1,8.77,2:19.06,3,8.79,2:19.25,2,8.79,2:19.17,5,9.01,2:19.77,4,8.71,2:19.28
2,9.16,2:28.213,4,9.11,2:28.356,3,9.12,2:28.286,5,9.32,2:29.085,1,8.76,2:28.037
