HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
2,12.41,12.41,4,12.59,12.59,1,12.33,12.33,3,12.49,12.49
1,9.66,22.07,4,9.70,22.29,3,9.84,22.17,2,9.66,22.15
2,9.12,31.19,4,9.08,31.37,3,9.12,31.29,1,8.97,31.12
1,9.48,40.67,4,9.56,40.93,3,9.54,40.83,2,9.55,40.67
1,9.06,49.73,4,9.05,49.98,3,9.07,49.90,2,9.14,49.81
1,9.35,59.08,4,9.33,59.31,3,9.33,59.23,2,9.34,59.15
1,9.15,1:08.23,4,9.44,1:08.75,2,9.11,1:08.34,3,9.54,1:08.69
1,9.16,1:17.39,3,9.12,1:17.87,2,9.16,1:17.50,4,9.31,1:18.00
1,9.14,1:26.529,2,8.83,1:26.698,0,,PEN,3,9.26,1:27.256
