MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
1,14.02,14.02,5,14.32,14.32,3,14.21,14.21,2,14.11,14.11,6,14.36,14.36,4,14.29,14.29
2,10.36,24.38,5,10.36,24.68,6,10.59,24.80,4,10.47,24.58,3,10.12,24.48,1,9.95,24.24
2,10.26,34.64,3,10.12,34.80,6,10.21,35.01,5,10.35,34.93,4,10.36,34.84,1,10.37,34.61
2,10.24,44.88,1,9.98,44.78,6,10.20,45.21,5,10.16,45.09,3,10.13,44.97,4,10.44,45.05
1,10.17,55.05,2,10.30,55.08,6,10.40,55.61,5,10.44,55.53,4,10.47,55.44,3,10.19,55.24
1,9.86,1:04.91,2,9.94,1:05.02,6,10.31,1:05.92,5,9.91,1:05.44,4,9.88,1:05.32,3,9.90,1:05.14
1,9.69,1:14.60,2,9.69,1:14.71,6,10.06,1:15.98,4,9.63,1:15.07,5,9.88,1:15.20,3,9.71,1:14.85
1,9.79,1:24.39,2,9.72,1:24.43,6,10.22,1:26.20,4,9.67,1:24.74,5,9.90,1:25.10,3,9.68,1:24.53
1,9.92,1:34.31,2,9.99,1:34.400,6,10.69,1:36.866,4,9.86,1:34.577,5,10.48,1:35.554,3,10.00,1:34.511
