Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
1,6.8272,6.8272,2,6.9639,6.9639,3,7.2867,7.2867,4,7.3021,7.3021
1,9.2576,16.0848,2,9.2123,16.1762,4,9.1344,16.4211,3,9.1007,16.4028
2,8.9794,25.0642,1,8.8546,25.0308,4,9.0637,25.4848,3,8.7418,25.1446
2,9.0820,34.1462,1,8.8895,33.9203,3,9.0652,34.5500,4,9.4138,34.5584
3,9.57,43.709,1,9.12,43.032,2,9.12,43.663,4,9.17,43.728
