John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
4,9.71,9.71,5,9.91,9.91,3,9.45,9.45,1,9.33,9.33,2,9.38,9.38
4,12.96,22.67,5,12.88,22.79,3,13.01,22.46,2,13.04,22.37,1,12.82,22.20
3,11.89,34.56,5,12.08,34.87,4,12.23,34.69,2,12.06,34.43,1,12.11,34.31
3,11.78,46.34,4,11.61,46.48,5,11.94,46.63,2,11.77,46.20,1,11.72,46.03
4,11.07,57.41,5,11.03,57.51,3,10.76,57.39,1,11.04,57.24,2,11.29,57.32
4,10.30,1:07.71,5,10.34,1:07.85,1,9.90,1:07.29,2,10.15,1:07.39,3,10.25,1:07.57
4,9.76,1:17.47,5,9.73,1:17.58,1,9.86,1:17.15,2,9.86,1:17.25,3,9.79,1:17.36
4,9.62,1:27.09,5,9.66,1:27.24,1,9.64,1:26.79,2,9.66,1:26.91,3,9.63,1:26.99
4,9.48,1:36.57,5,9.50,1:36.74,1,9.59,1:36.38,2,9.57,1:36.48,3,9.56,1:36.55
2,9.12,1:45.69,3,9.09,1:45.83,4,9.53,1:45.91,1,9.20,1:45.68,5,9.39,1:45.94
1,9.11,1:54.80,2,9.23,1:55.06,5,9.77,1:55.68,3,9.48,1:55.16,4,9.34,1:55.28
1,8.96,2:03.76,3,9.32,2:04.38,5,9.60,2:05.28,2,9.00,2:04.16,4,9.20,2:04.48
1,9.08,2:12.84,4,9.42,2:13.80,5,10.05,2:15.33,2,8.88,2:13.04,3,9.25,2:13.73
1,9.39,2:22.228,4,10.58,2:24.372,5,11.00,2:26.326,2,9.31,2:22.347,3,9.69,2:23.420
