BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME
5,16.42,16.42,1,15.96,15.96,2,16.10,16.10,3,16.21,16.21,4,16.32,16.32
5,12.86,29.28,1,12.80,28.76,2,12.81,28.91,3,12.84,29.05,4,12.89,29.21
5,12.03,41.31,3,12.26,41.02,1,12.01,40.92,2,11.96,41.01,4,11.98,41.19
5,10.62,51.93,4,10.80,51.82,1,10.59,51.51,2,10.62,51.63,3,10.52,51.71
5,9.87,1:01.80,4,9.94,1:01.76,1,9.98,1:01.49,3,9.94,1:01.57,2,9.84,1:01.55
4,9.44,1:11.24,5,9.77,1:11.53,1,9.46,1:10.95,2,9.51,1:11.08,3,9.65,1:11.20
4,9.78,1:21.02,5,9.95,1:21.48,1,9.29,1:20.24,2,9.29,1:20.37,3,9.55,1:20.75
4,9.93,1:30.95,5,10.43,1:31.91,1,9.24,1:29.48,2,9.29,1:29.66,3,9.77,1:30.52
4,10.12,1:41.07,5,11.16,1:43.07,1,9.28,1:38.76,2,9.51,1:39.17,3,10.12,1:40.64
