SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
3,7.62,7.62,1,7.24,7.24,2,7.54,7.54,4,7.72,7.72
3,9.34,16.97,1,9.53,16.78,2,9.32,16.86,4,9.62,17.34
3,9.07,26.04,1,9.02,25.80,2,9.11,25.98,4,9.25,26.60
2,9.10,35.14,1,9.24,35.05,3,9.18,35.17,4,9.36,35.97
3,9.51,44.647,1,9.53,44.577,2,9.45,44.618,4,9.83,45.791
