Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
2,12.764,12.764,3,12.785,12.785,1,12.602,12.602,4,12.895,12.895
2,9.793,22.556,3,9.833,22.618,1,9.937,22.539,4,9.775,22.670
2,9.412,31.968,4,9.430,32.047,1,9.417,31.955,3,9.305,31.975
3,9.533,41.500,4,9.534,41.581,1,9.451,41.406,2,9.510,41.484
3,9.648,51.148,4,9.787,51.368,2,9.541,50.946,1,9.381,50.865
2,9.302,1:00.449,3,9.475,1:00.842,4,10.937,1:01.883,1,9.449,1:00.314
1,9.546,1:09.995,4,9.480,1:10.322,2,8.152,1:10.035,3,9.864,1:10.178
1,9.566,1:19.560,3,9.607,1:19.928,2,9.560,1:19.594,4,19.046,1:29.223
3,9.87,1:29.430,4,9.85,1:29.776,1,9.74,1:29.332,2,0.21,1:29.427
