Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME
3,8.39,8.39,6,8.71,8.71,5,8.57,8.57,1,8.38,8.38,4,8.40,8.40,2,8.39,8.39
3,11.15,19.55,6,11.12,19.83,1,10.71,19.28,4,11.20,19.59,5,11.26,19.66,2,11.10,19.50
4,10.51,30.06,5,10.51,30.34,2,10.59,29.88,1,10.27,29.86,6,10.72,30.39,3,10.39,29.89
2,10.65,40.72,6,10.84,41.18,1,10.63,40.52,4,11.00,40.86,5,10.68,41.07,3,10.89,40.78
4,10.48,51.20,6,10.74,51.93,1,10.36,50.88,2,10.12,50.98,5,10.30,51.37,3,10.26,51.04
1,9.69,1:00.90,6,10.48,1:02.41,2,10.02,1:00.91,3,9.99,1:00.98,5,9.85,1:01.23,4,10.06,1:01.10
3,9.53,1:10.44,6,9.33,1:11.74,2,9.44,1:10.35,1,9.34,1:10.32,4,9.39,1:10.62,5,9.57,1:10.68
4,9.85,1:20.29,6,9.25,1:21.00,2,9.85,1:20.21,1,9.78,1:20.11,3,9.63,1:20.26,5,9.72,1:20.40
4,9.62,1:29.92,6,9.65,1:30.65,2,9.47,1:29.69,1,9.54,1:29.65,3,9.49,1:29.75,5,9.61,1:30.02
4,9.47,1:39.39,6,9.94,1:40.59,1,9.43,1:39.12,2,9.52,1:39.18,3,9.58,1:39.33,5,9.49,1:39.51
3,9.43,1:48.83,6,10.27,1:50.87,2,9.60,1:48.73,1,9.55,1:48.73,4,9.54,1:48.88,5,9.48,1:49.00
4,9.68,1:58.51,6,10.50,2:01.37,2,9.54,1:58.28,1,9.54,1:58.27,3,9.56,1:58.44,5,9.63,1:58.63
1,9.18,2:07.70,6,10.97,2:12.34,3,9.65,2:07.93,2,9.57,2:07.85,5,9.66,2:08.10,4,9.36,2:07.99
4,10.79,2:18.488,5,12.37,2:24.707,2,9.94,2:17.870,1,9.85,2:17.698,0,,DQ,3,10.24,2:18.229
