Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,6.99,6.99,1,6.86,6.86,4,7.16,7.16,3,7.01,7.01
3,9.31,16.30,1,9.21,16.07,4,9.35,16.51,2,9.20,16.21
3,8.71,25.01,1,8.71,24.78,4,8.84,25.35,2,8.67,24.88
3,8.72,33.73,1,8.74,33.52,4,8.86,34.21,2,8.75,33.63
3,9.16,42.883,1,9.07,42.587,4,9.20,43.409,2,9.08,42.703
