Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME
6,11.759,11.759,2,11.047,11.047,3,11.152,11.152,4,11.383,11.383,5,11.696,11.696,1,11.030,11.030
6,13.704,25.462,2,13.923,24.969,5,14.120,25.272,3,13.744,25.127,1,13.107,24.803,4,14.140,25.169
4,11.872,37.334,3,12.362,37.331,5,12.179,37.451,6,12.354,37.480,2,12.362,37.164,1,11.896,37.065
2,11.394,48.727,4,11.661,48.991,5,11.576,49.026,6,11.608,49.088,3,11.636,48.800,1,11.456,48.521
2,10.829,59.555,5,10.747,59.738,3,10.543,59.569,6,10.747,59.834,4,10.890,59.690,1,10.765,59.286
3,9.755,1:09.310,5,9.872,1:09.609,1,9.358,1:08.927,6,9.853,1:09.687,4,9.806,1:09.495,2,9.818,1:09.103
3,9.641,1:18.951,6,9.589,1:19.198,1,9.704,1:18.630,5,9.509,1:19.196,4,9.482,1:18.977,2,9.671,1:18.774
3,9.662,1:28.612,5,9.679,1:28.877,1,9.731,1:28.360,6,9.731,1:28.926,4,9.842,1:28.819,2,9.683,1:28.456
3,9.772,1:38.383,5,9.741,1:38.618,1,9.693,1:38.052,6,9.759,1:38.684,4,9.695,1:38.514,2,9.667,1:38.123
3,9.622,1:48.005,5,9.594,1:48.211,1,9.628,1:47.680,6,9.643,1:48.327,4,9.645,1:48.159,2,9.737,1:47.860
2,9.210,1:57.215,4,9.407,1:57.618,1,8.979,1:56.659,6,9.413,1:57.740,3,9.298,1:57.456,5,9.871,1:57.730
2,9.383,2:06.597,4,9.425,2:07.043,1,9.718,2:06.376,5,9.324,2:07.064,3,9.223,2:06.678,6,9.521,2:07.250
3,9.825,2:16.422,5,9.548,2:16.591,1,9.354,2:15.729,4,9.423,2:16.486,2,9.417,2:16.095,6,9.372,2:16.622
0,,DQ,5,10.19,2:26.777,1,9.89,2:25.613,3,9.61,2:26.092,2,9.64,2:25.730,4,9.80,2:26.419
