HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
1,13.62,13.62,4,13.90,13.90,3,13.79,13.79,2,13.72,13.72
2,10.88,24.50,1,10.54,24.44,4,10.90,24.69,3,10.88,24.60
2,9.79,34.29,1,9.79,34.23,3,9.68,34.37,4,9.78,34.38
2,9.81,44.10,1,9.80,44.03,3,9.85,44.22,4,9.94,44.32
1,9.62,53.72,1,9.69,53.72,3,9.70,53.92,4,9.69,54.01
1,9.24,1:02.96,2,9.35,1:03.07,3,9.22,1:03.14,4,9.24,1:03.25
1,9.44,1:12.40,2,9.44,1:12.51,3,9.47,1:12.61,4,9.51,1:12.76
1,9.20,1:21.60,2,9.22,1:21.73,3,9.21,1:21.82,4,9.45,1:22.21
1,9.14,1:30.74,2,9.18,1:30.91,3,9.15,1:30.97,4,10.06,1:32.27
