EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,ROBERTS Isabelle POSITION,ROBERTS Isabelle LAP TIME,ROBERTS Isabelle ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME
1,9.83,9.83,3,9.95,9.95,5,10.20,10.20,6,10.38,10.38,4,10.05,10.05,1,9.83,9.83
2,14.42,24.25,4,14.47,24.42,1,14.02,24.22,6,14.50,24.88,5,14.45,24.50,3,14.48,24.31
1,11.75,36.00,4,11.98,36.40,2,11.98,36.20,6,11.83,36.71,5,12.02,36.52,3,12.00,36.31
1,11.95,47.95,4,11.82,48.22,2,11.87,48.07,6,11.75,48.46,5,11.77,48.29,3,11.86,48.17
2,11.68,59.63,4,11.68,59.90,6,11.95,1:00.02,1,11.03,59.49,5,11.71,1:00.00,3,11.64,59.81
2,10.65,1:10.28,4,10.46,1:10.36,3,10.28,1:10.30,1,10.70,1:10.19,6,10.49,1:10.49,5,10.63,1:10.44
4,10.31,1:20.59,5,10.31,1:20.67,1,10.12,1:20.42,2,10.33,1:20.52,6,10.39,1:20.88,2,10.08,1:20.52
3,10.18,1:30.77,5,10.20,1:30.87,2,10.28,1:30.70,4,10.33,1:30.85,6,10.35,1:31.23,1,10.09,1:30.61
2,9.91,1:40.68,4,9.97,1:40.84,3,10.07,1:40.77,5,10.16,1:41.01,6,10.26,1:41.49,1,9.99,1:40.60
2,9.76,1:50.44,4,9.85,1:50.69,3,9.83,1:50.60,5,9.86,1:50.87,6,10.54,1:52.03,1,9.81,1:50.41
1,9.29,1:59.73,4,9.54,2:00.23,3,9.53,2:00.13,5,9.47,2:00.34,6,10.88,2:02.91,2,9.59,2:00.00
1,9.31,2:09.04,5,9.49,2:09.72,3,9.41,2:09.54,4,9.35,2:09.69,6,11.31,2:14.22,2,9.38,2:09.38
1,9.45,2:18.49,5,9.65,2:19.37,4,9.48,2:19.02,2,9.04,2:18.73,6,11.83,2:26.05,3,9.36,2:18.74
2,9.64,2:28.13,5,9.90,2:29.279,4,9.94,2:28.968,1,9.37,2:28.10,6,12.12,2:38.174,3,9.52,2:28.261
