LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,13.05,13.05,3,13.19,13.19,1,12.98,12.98,4,13.32,13.32
1,10.35,23.40,3,10.44,23.63,2,10.49,23.47,4,10.43,23.75
1,9.91,33.31,3,9.78,33.41,2,9.92,33.39,4,9.81,33.56
1,9.35,42.66,2,9.37,42.78,3,9.49,42.88,4,9.43,42.99
1,9.21,51.87,2,9.22,52.00,3,9.24,52.12,4,9.13,52.12
1,8.98,1:00.85,2,8.99,1:00.99,4,9.20,1:01.32,3,8.94,1:01.06
1,8.79,1:09.64,2,8.76,1:09.75,4,8.95,1:10.27,3,8.80,1:09.86
1,8.87,1:18.51,2,8.84,1:18.59,4,9.18,1:19.45,3,8.75,1:18.61
1,9.52,1:28.022,3,42.03,2:00.614,2,9.67,1:29.120,0,,PEN
