Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Valerie POSTRIGAN POSITION,Valerie POSTRIGAN LAP TIME,Valerie POSTRIGAN ELAPSED TIME
1,9.710,9.710,4,10.290,10.290,3,10.040,10.040,5,10.630,10.630,2,9.970,9.970
1,14.270,23.980,2,13.990,24.280,3,14.310,24.350,5,14.520,25.160,4,14.390,24.370
2,12.220,36.210,3,11.960,36.250,1,11.740,36.090,5,11.990,37.150,4,12.170,36.540
2,11.860,48.070,4,11.890,48.150,1,11.940,48.040,5,11.520,48.680,3,11.580,48.120
1,11.470,59.540,2,11.410,59.560,3,11.740,59.780,5,11.750,1:00.440,4,11.690,59.820
1,11.530,1:11.080,2,11.650,1:11.210,4,11.680,1:11.470,5,12.020,1:12.470,3,11.540,1:11.370
1,10.410,1:21.500,5,11.960,1:23.170,2,10.110,1:21.580,3,9.680,1:22.150,4,10.800,1:22.170
1,10.490,1:31.990,4,9.620,1:32.790,2,10.620,1:32.200,5,10.840,1:32.990,3,10.540,1:32.720
1,10.930,1:42.920,4,10.940,1:43.740,2,10.830,1:43.040,5,10.910,1:43.900,3,10.800,1:43.520
1,10.050,1:52.980,3,9.640,1:53.390,4,10.550,1:53.600,2,9.290,1:53.190,5,11.060,1:54.580
2,9.970,2:02.950,3,9.910,2:03.300,4,10.150,2:03.750,1,9.690,2:02.890,5,11.220,2:05.810
1,10.300,2:13.250,2,10.030,2:13.340,4,10.080,2:13.840,3,10.520,2:13.420,5,11.580,2:17.390
1,10.170,2:23.430,4,10.670,2:24.010,2,9.900,2:23.750,3,10.510,2:23.930,5,11.790,2:29.180
2,10.670,2:34.110,4,10.880,2:34.890,3,11.010,2:34.760,1,9.430,2:33.360,5,12.050,2:41.230
