Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,13.17,13.17,3,13.30,13.30,2,13.17,13.17,4,13.38,13.38
2,9.77,22.95,3,9.68,22.99,4,9.84,23.02,1,9.53,22.92
3,9.77,32.72,4,9.79,32.78,1,9.31,32.34,2,9.74,32.66
2,9.47,42.19,3,9.44,42.22,1,9.82,42.17,4,9.60,42.27
4,9.88,52.08,1,9.65,51.87,2,9.74,51.91,3,9.68,51.95
2,9.39,1:01.47,4,9.64,1:01.52,3,9.59,1:01.51,1,9.50,1:01.46
2,9.27,1:10.74,1,9.15,1:10.67,4,9.34,1:10.85,3,9.37,1:10.83
2,9.20,1:19.94,1,9.25,1:19.93,3,9.18,1:20.04,4,9.23,1:20.07
2,9.29,1:29.224,1,9.21,1:29.134,3,9.28,1:29.320,4,9.64,1:29.703
