Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Dusan STAMENKOVIC POSITION,Dusan STAMENKOVIC LAP TIME,Dusan STAMENKOVIC ELAPSED TIME
1,6.93,6.93,2,7.12,7.12,3,7.18,7.18,4,7.84,7.84
1,9.37,16.30,2,9.25,16.37,3,9.42,16.60,4,11.24,19.08
2,8.75,25.05,1,8.60,24.97,3,8.81,25.41,4,11.11,30.19
2,8.90,33.95,1,8.83,33.80,3,8.65,34.06,4,10.95,41.14
2,8.96,42.904,1,8.98,42.777,3,8.86,42.912,4,11.51,52.646
