Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,12.91,12.91,4,13.19,13.19,1,12.90,12.90,3,13.12,13.12
1,9.93,22.85,4,9.92,23.11,2,10.14,23.05,3,9.99,23.11
1,9.32,32.18,2,9.26,32.38,3,9.39,32.45,4,9.39,32.50
1,9.63,41.81,4,9.68,42.06,2,9.50,41.95,3,9.54,42.04
2,9.17,50.98,1,8.90,50.97,3,9.24,51.19,4,9.22,51.27
2,9.00,59.99,1,8.84,59.81,3,8.99,1:00.18,4,8.93,1:00.21
2,8.97,1:08.96,1,8.90,1:08.72,4,9.19,1:09.38,3,9.02,1:09.23
2,9.37,1:18.34,1,9.01,1:17.74,4,9.32,1:18.70,3,9.44,1:18.67
2,9.75,1:28.088,1,9.95,1:27.688,4,9.94,1:28.631,3,9.54,1:28.206
