Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,13.541,13.541,3,13.791,13.791,4,13.933,13.933,1,13.513,13.513
2,9.776,23.316,3,9.771,23.561,4,9.715,23.648,1,9.781,23.293
2,9.721,33.037,3,9.721,33.282,4,9.734,33.381,1,9.658,32.950
2,9.701,42.737,4,9.746,43.027,3,9.621,43.001,1,9.766,42.716
1,9.631,52.368,4,9.857,52.883,3,9.700,52.701,2,9.932,52.647
1,9.596,1:01.964,3,9.662,1:02.545,2,9.593,1:02.293,4,10.577,1:03.223
1,9.326,1:11.289,3,9.491,1:12.036,2,9.451,1:11.743,4,10.643,1:13.865
1,9.603,1:20.892,3,9.603,1:21.638,2,9.664,1:21.407,4,11.044,1:24.909
1,10.36,1:31.248,3,9.94,1:31.577,2,10.11,1:31.510,4,11.72,1:36.623
