Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,14.56,14.56,2,14.64,14.64,4,14.85,14.85,3,14.74,14.74
1,11.34,25.90,2,11.27,25.91,4,11.33,26.18,3,11.32,26.06
3,11.38,37.28,1,11.24,37.15,4,11.20,37.38,2,11.15,37.21
3,11.19,48.47,2,11.20,48.35,4,11.20,48.58,1,11.05,48.26
3,11.02,59.49,2,10.99,59.34,4,11.00,59.58,1,10.97,59.23
3,10.33,1:09.82,2,10.31,1:09.65,4,10.38,1:09.96,1,10.33,1:09.56
3,9.73,1:19.55,2,9.77,1:19.42,4,9.66,1:19.62,1,9.76,1:19.32
3,9.63,1:29.18,2,9.63,1:29.05,4,9.61,1:29.23,1,9.72,1:29.04
0,,PEN,1,9.64,1:38.682,3,22.38,1:51.607,2,10.20,1:39.232
