Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME
3,14.34,14.34,4,14.43,14.43,5,14.58,14.58,2,14.23,14.23,1,14.08,14.08
4,11.70,26.04,2,11.48,25.91,5,11.73,26.31,3,11.70,25.93,1,11.71,25.79
4,10.86,36.90,3,10.82,36.73,5,10.83,37.14,2,10.80,36.73,1,10.85,36.64
4,10.01,46.91,2,9.98,46.71,5,9.98,47.12,3,10.05,46.78,1,9.99,46.63
4,10.24,57.15,2,10.24,56.95,5,10.17,57.29,3,10.26,57.04,1,10.23,56.86
4,10.22,1:07.37,2,10.17,1:07.12,5,10.21,1:07.50,3,10.23,1:07.27,1,10.18,1:07.04
4,9.71,1:17.08,2,9.78,1:16.90,5,9.64,1:17.14,3,9.72,1:16.99,1,9.78,1:16.82
5,9.71,1:26.79,3,9.65,1:26.55,1,9.35,1:26.49,4,9.66,1:26.65,2,9.73,1:26.55
4,9.72,1:36.502,2,9.79,1:36.338,1,9.14,1:35.627,5,9.90,1:36.544,3,9.90,1:36.445
