Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Shuta MATSUZU POSITION,Shuta MATSUZU LAP TIME,Shuta MATSUZU ELAPSED TIME,Moritz KREUSELER POSITION,Moritz KREUSELER LAP TIME,Moritz KREUSELER ELAPSED TIME
1,9.16,9.16,4,9.62,9.62,5,9.84,9.84,2,9.28,9.28,3,9.37,9.37
1,13.77,22.93,4,13.66,23.28,5,13.63,23.47,3,13.80,23.08,2,13.60,22.97
2,12.68,35.61,4,12.63,35.91,5,12.56,36.03,3,12.54,35.62,1,12.54,35.51
2,11.74,47.35,4,11.81,47.72,5,11.82,47.85,3,11.87,47.49,1,11.74,47.25
1,11.22,58.57,4,11.18,58.90,5,11.15,59.00,3,11.28,58.77,2,11.41,58.66
1,11.58,1:10.15,4,11.60,1:10.50,5,11.60,1:10.60,3,11.61,1:10.38,2,11.60,1:10.26
1,11.73,1:21.88,4,11.70,1:22.20,3,11.49,1:22.09,4,11.82,1:22.20,2,11.75,1:22.01
2,10.49,1:32.37,5,10.54,1:32.74,3,10.36,1:32.45,1,10.09,1:32.29,4,10.50,1:32.51
2,9.69,1:42.06,5,9.62,1:42.36,3,9.72,1:42.17,1,9.69,1:41.98,4,9.75,1:42.26
2,9.89,1:51.95,5,9.96,1:52.32,3,9.90,1:52.07,1,9.89,1:51.87,4,9.91,1:52.17
3,9.56,2:01.51,5,9.49,2:01.81,2,9.42,2:01.49,1,9.52,2:01.39,4,9.61,2:01.78
3,9.35,2:10.86,4,9.19,2:11.00,1,9.14,2:10.63,2,9.39,2:10.78,5,10.01,2:11.79
3,9.30,2:20.16,4,9.33,2:20.33,1,9.26,2:19.89,2,9.23,2:20.01,5,9.98,2:21.77
3,9.37,2:29.53,4,9.59,2:29.92,1,9.36,2:29.25,2,9.39,2:29.40,5,10.42,2:32.19
