MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME
2,6.95,,3,6.98,6.98,1,6.76,6.76,4,7.19,7.19
3,8.84,,2,8.73,15.71,1,8.73,15.49,4,8.95,16.14
3,8.26,,2,8.32,24.03,1,8.43,23.92,4,8.45,24.59
3,8.60,,2,8.52,32.55,1,8.53,32.45,4,8.68,33.27
4,47.59,,3,29.89,1:02.44,1,8.75,41.20,2,8.93,42.20
