LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,13.30,13.30,2,13.18,13.18,4,13.42,13.42,1,13.15,13.15,5,13.53,13.53
2,9.90,23.20,1,9.92,23.10,3,9.82,23.24,4,10.13,23.28,5,9.89,23.42
3,9.42,32.62,2,9.42,32.52,1,9.15,32.39,4,9.41,32.69,5,9.39,32.81
3,9.34,41.96,2,9.36,41.88,1,9.45,41.84,4,9.38,42.07,5,9.41,42.22
2,9.29,51.25,4,9.57,51.45,1,9.33,51.17,3,9.26,51.33,5,9.32,51.54
2,9.37,1:00.62,4,9.39,1:00.84,1,9.38,1:00.55,3,9.38,1:00.71,5,9.43,1:00.97
1,9.26,1:09.88,4,9.32,1:10.16,2,9.45,1:10.00,3,9.35,1:10.06,5,9.36,1:10.33
1,9.30,1:19.18,4,9.39,1:19.55,2,9.33,1:19.33,3,9.32,1:19.38,5,9.53,1:19.86
1,9.47,1:28.656,4,9.57,1:29.125,2,9.52,1:28.858,3,9.55,1:28.931,5,10.01,1:29.870
