Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,15.50,15.50,2,15.60,15.60,4,15.82,15.82,3,15.68,15.68
1,12.31,27.81,2,12.34,27.94,4,12.37,28.19,3,12.37,28.05
1,11.80,39.61,2,11.69,39.63,4,11.77,39.96,3,11.72,39.77
1,10.84,50.45,3,10.90,50.53,4,10.74,50.70,2,10.74,50.51
1,9.80,1:00.25,3,9.93,1:00.46,4,9.96,1:00.66,2,9.83,1:00.34
2,9.87,1:10.12,1,9.55,1:10.01,4,9.61,1:10.27,3,9.91,1:10.25
1,9.15,1:19.27,3,9.48,1:19.49,2,9.13,1:19.40,4,9.24,1:19.49
1,9.06,1:28.33,4,9.69,1:29.18,3,9.17,1:28.57,2,8.86,1:28.35
2,9.31,1:37.632,4,10.50,1:39.679,3,9.55,1:38.115,1,9.14,1:37.489
