Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,LI Hongshuang POSITION,LI Hongshuang LAP TIME,LI Hongshuang ELAPSED TIME
5,11.62,11.62,6,11.80,11.80,4,11.43,11.43,3,11.21,11.21,2,11.01,11.01,1,10.82,10.82
6,15.33,26.95,5,15.08,26.88,4,15.37,26.80,3,15.35,26.56,2,15.43,26.44,1,15.43,26.25
6,14.45,41.40,4,14.20,41.08,5,14.44,41.24,3,14.35,40.91,2,14.32,40.76,1,14.31,40.56
6,13.44,54.84,5,13.58,54.66,4,13.34,54.58,2,13.54,54.45,3,13.80,54.56,1,13.80,54.36
6,11.65,1:06.49,5,11.69,1:06.35,1,11.62,1:06.20,3,11.83,1:06.28,2,11.64,1:06.20,4,11.99,1:06.35
6,10.72,1:17.21,1,10.59,1:16.94,4,10.87,1:17.07,5,10.83,1:17.11,2,10.74,1:16.94,3,10.63,1:16.98
6,10.43,1:27.64,2,10.21,1:27.15,4,10.35,1:27.42,5,10.43,1:27.54,3,10.30,1:27.24,1,10.07,1:27.05
6,10.30,1:37.94,3,10.50,1:37.65,1,10.18,1:37.60,5,10.26,1:37.80,4,10.51,1:37.75,2,10.55,1:37.60
6,9.65,1:47.59,4,9.80,1:47.45,1,9.61,1:47.21,3,9.53,1:47.33,5,9.74,1:47.49,2,9.70,1:47.30
3,9.68,1:57.27,4,10.00,1:57.45,1,9.87,1:57.08,5,10.23,1:57.56,6,10.22,1:57.71,2,9.89,1:57.19
3,9.92,2:07.19,4,9.93,2:07.38,1,9.94,2:07.02,5,9.86,2:07.42,6,9.77,2:07.48,2,9.92,2:07.11
3,9.74,2:16.93,6,10.55,2:17.93,1,9.70,2:16.72,5,10.23,2:17.65,4,10.04,2:17.52,2,9.70,2:16.81
3,9.73,2:26.66,6,11.08,2:29.01,1,9.67,2:26.39,5,10.04,2:27.69,4,9.91,2:27.43,2,9.68,2:26.49
3,9.73,2:36.382,6,11.39,2:40.396,1,9.83,2:36.211,5,10.85,2:38.534,4,10.02,2:37.441,2,9.76,2:36.248
