LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,12.44,12.44,2,12.47,12.47,3,12.57,12.57,4,12.67,12.67
3,9.60,22.04,1,9.48,21.95,2,9.39,21.96,4,9.52,22.19
3,9.44,31.48,2,9.45,31.40,1,9.35,31.31,4,9.43,31.62
3,9.16,40.64,2,9.17,40.57,1,9.19,40.50,4,9.08,40.70
3,9.08,49.72,2,9.03,49.60,1,9.00,49.50,4,9.25,49.95
3,8.93,58.65,1,8.88,58.48,2,9.00,58.50,4,8.92,58.87
4,9.57,1:08.22,1,8.94,1:07.42,2,9.23,1:07.73,3,9.01,1:07.88
4,13.20,1:21.42,1,9.12,1:16.54,2,9.17,1:16.90,3,9.40,1:17.28
3,17.77,1:39.182,1,9.37,1:25.909,0,,PEN,2,9.80,1:27.071
