Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
1,8.02,8.02,3,8.17,8.17,4,8.28,8.28,5,8.42,8.42,2,8.03,8.03,6,8.55,8.55
2,11.69,19.71,3,11.66,19.83,4,11.67,19.95,5,11.65,20.07,1,11.68,19.71,6,11.61,20.16
2,11.16,30.87,1,10.94,30.77,4,11.16,31.11,5,11.15,31.22,3,11.30,31.01,6,11.15,31.31
2,11.15,42.02,1,11.14,41.91,4,11.07,42.18,6,11.06,42.28,3,11.10,42.11,5,10.93,42.24
5,11.41,53.43,1,10.63,52.54,3,10.76,52.94,4,10.77,53.05,2,10.59,52.70,6,18.06,1:00.30
5,10.15,1:03.58,1,10.50,1:03.04,3,10.33,1:03.27,4,10.36,1:03.41,2,10.46,1:03.16,6,14.19,1:14.49
5,10.35,1:13.93,1,10.39,1:13.43,3,10.38,1:13.65,4,10.37,1:13.78,2,10.38,1:13.54,6,10.94,1:25.43
5,10.30,1:24.23,1,10.39,1:23.82,3,10.37,1:24.02,4,10.37,1:24.15,2,10.39,1:23.93,6,10.85,1:36.28
5,10.38,1:34.61,1,10.39,1:34.21,3,10.39,1:34.41,4,10.35,1:34.50,2,10.38,1:34.31,6,11.14,1:47.42
5,10.06,1:44.67,1,10.10,1:44.31,3,10.07,1:44.48,4,10.07,1:44.57,2,10.10,1:44.41,6,10.97,1:58.39
5,10.28,1:54.95,1,10.24,1:54.55,3,10.27,1:54.75,4,10.29,1:54.86,2,10.24,1:54.65,6,11.50,2:09.89
5,10.27,2:05.22,1,10.28,2:04.83,3,10.30,2:05.05,4,10.28,2:05.14,2,10.29,2:04.94,6,11.94,2:21.83
3,10.03,2:15.25,1,10.22,2:15.05,5,10.29,2:15.34,4,10.12,2:15.26,2,10.21,2:15.15,6,11.97,2:33.80
0,,DQ,1,10.74,2:25.789,3,17.97,2:33.304,4,20.55,2:35.805,2,17.00,2:32.144,0,,DQ
