LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Vincent COURNOYER POSITION,Vincent COURNOYER LAP TIME,Vincent COURNOYER ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Marco BERTOLDI POSITION,Marco BERTOLDI LAP TIME,Marco BERTOLDI ELAPSED TIME
5,9.447,9.447,1,8.945,8.945,4,9.437,9.437,3,9.383,9.383,2,9.322,9.322,6,9.739,9.739
6,12.743,22.190,3,12.729,21.674,5,12.650,22.086,4,12.371,21.754,2,12.324,21.646,1,11.846,21.586
6,10.857,33.047,2,10.966,32.640,5,10.822,32.909,1,10.730,32.484,3,11.106,32.753,4,11.315,32.900
4,10.515,43.561,2,10.511,43.151,6,24.898,57.806,1,10.430,42.914,5,18.402,51.154,3,10.514,43.414
4,10.421,53.982,2,10.266,53.416,6,20.547,1:18.354,1,10.434,53.348,5,14.406,1:05.560,3,10.513,53.927
4,10.611,1:04.593,2,10.942,1:04.358,6,12.797,1:31.150,1,10.873,1:04.221,5,11.599,1:17.159,3,10.665,1:04.592
4,11.013,1:15.606,2,10.913,1:15.271,6,10.355,1:41.506,1,10.895,1:15.116,5,11.811,1:28.970,3,10.929,1:15.521
3,10.981,1:26.587,2,11.114,1:26.384,6,9.986,1:51.492,1,11.120,1:26.236,5,11.791,1:40.761,4,11.135,1:26.656
4,10.819,1:37.406,2,10.640,1:37.024,6,9.394,2:00.886,1,10.760,1:36.996,5,11.147,1:51.908,3,10.686,1:37.342
1,9.369,1:46.775,3,10.158,1:47.182,6,9.965,2:10.852,2,9.981,1:46.976,5,10.933,2:02.841,4,10.044,1:47.386
1,9.051,1:55.827,3,9.134,1:56.316,6,9.809,2:20.661,2,9.242,1:56.219,5,12.088,2:14.929,4,9.584,1:56.971
3,9.902,2:05.728,2,9.123,2:05.439,6,10.211,2:30.872,1,9.192,2:05.411,5,11.766,2:26.695,4,9.478,2:06.449
1,8.759,2:14.487,3,9.353,2:14.791,6,10.406,2:41.278,2,9.227,2:14.638,5,11.627,2:38.322,4,9.976,2:16.425
1,9.432,2:23.919,3,9.431,2:24.222,0,,,2,9.421,2:24.058,5,12.175,2:50.497,4,11.115,2:27.540
