SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
2,6.920,6.920,1,6.760,6.760,3,7.010,7.010,4,7.080,7.080
1,9.040,15.960,2,9.250,16.020,3,9.250,16.270,4,9.220,16.300
1,8.490,24.460,2,8.740,24.760,3,8.740,25.010,4,8.720,25.020
1,8.780,33.240,2,8.960,33.720,4,9.180,34.200,3,8.960,33.980
1,9.080,42.320,2,9.380,43.100,3,9.100,43.310,4,9.700,43.690
