Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
3,12.86,12.86,2,12.82,12.82,1,12.80,12.80
3,9.62,22.48,1,9.35,22.17,2,9.39,22.19
3,9.42,31.90,2,9.52,31.69,1,9.46,31.65
3,9.44,41.34,1,9.39,41.08,2,9.49,41.14
3,9.62,50.96,1,9.61,50.69,2,9.57,50.71
3,9.78,1:00.74,1,9.73,1:00.42,2,9.86,1:00.57
1,9.68,1:10.42,2,10.03,1:10.45,3,9.92,1:10.49
1,9.13,1:19.55,2,9.87,1:20.32,3,10.30,1:20.79
1,9.45,1:28.995,2,10.48,1:30.796,3,10.83,1:31.616
