LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
1,6.76,6.76,2,6.95,6.95,3,7.03,7.03,4,7.25,7.25
1,8.92,15.68,3,8.91,15.86,2,8.81,15.84,4,8.77,16.02
1,8.38,24.06,3,8.45,24.31,2,8.33,24.17,4,8.39,24.41
1,8.51,32.57,3,8.48,32.79,2,8.44,32.61,4,8.41,32.82
2,8.71,41.276,3,8.69,41.472,1,8.64,41.242,4,8.79,41.605
