van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
5,13.19,13.19,4,13.03,13.03,2,12.68,12.68,1,12.51,12.51,3,12.84,12.84,6,13.21,13.21
5,18.99,32.18,4,18.96,31.99,2,18.96,31.64,1,18.98,31.49,3,18.97,31.81,6,19.02,32.23
6,17.43,49.61,4,17.45,49.44,2,17.56,49.20,1,17.57,49.06,3,17.52,49.33,5,17.24,49.47
6,17.19,1:06.80,5,17.16,1:06.60,2,16.96,1:06.16,1,16.97,1:06.03,3,17.00,1:06.33,4,16.98,1:06.45
6,16.38,1:23.18,5,16.42,1:23.02,2,16.40,1:22.56,1,16.42,1:22.45,3,16.31,1:22.64,4,16.31,1:22.76
6,13.42,1:36.60,5,13.43,1:36.45,1,13.43,1:35.99,2,13.65,1:36.10,3,13.60,1:36.24,4,13.62,1:36.38
2,10.66,1:47.26,1,10.79,1:47.24,4,11.37,1:47.36,5,11.39,1:47.49,3,11.07,1:47.31,6,11.29,1:47.67
1,10.63,1:57.89,2,10.75,1:57.99,5,10.71,1:58.07,3,10.54,1:58.03,4,10.73,1:58.04,6,10.58,1:58.25
1,10.93,2:08.82,2,10.96,2:08.95,5,11.17,2:09.24,4,11.12,2:09.15,3,11.02,2:09.06,6,11.11,2:09.36
2,10.72,2:19.54,1,10.36,2:19.31,5,10.64,2:19.88,4,10.62,2:19.77,3,10.58,2:19.64,6,10.84,2:20.20
2,9.92,2:29.46,1,10.06,2:29.37,5,9.88,2:29.76,4,9.88,2:29.65,3,9.93,2:29.57,6,10.45,2:30.65
2,9.76,2:39.22,1,9.65,2:39.02,5,9.84,2:39.60,4,9.81,2:39.46,3,9.80,2:39.37,6,10.86,2:41.51
2,9.72,2:48.94,1,9.40,2:48.42,5,9.73,2:49.33,4,9.52,2:48.98,3,9.61,2:48.98,6,11.48,2:52.99
5,17.00,3:05.933,1,9.69,2:58.108,2,10.03,2:59.354,0,,PEN,3,11.12,3:00.092,4,11.71,3:04.698
